episod,recompensa,pasi,succes,epsilon
563,34.000000000000284,150,0,0.5693376064774013
564,131.09999999999962,248,0,0.5687682688709239
565,51.90000000000023,122,0,0.5681995006020529
566,35.30000000000021,124,0,0.5676313011014509
567,113.59999999999987,238,0,0.5670636698003494
568,124.29999999999954,234,0,0.5664966061305491
569,36.30000000000018,104,0,0.5659301095244186
570,126.89999999999965,272,0,0.5653641794148941
571,309.849999999999,303,1,0.5647988152354793
572,42.95000000000017,121,0,0.5642340164202437
573,44.60000000000018,118,0,0.5636697824038235
574,51.600000000000264,158,0,0.5631061126214196
575,42.95000000000016,121,0,0.5625430065087982
576,36.40000000000015,102,0,0.5619804635022894
577,35.450000000000216,121,0,0.561418483038787
578,54.650000000000304,157,0,0.5608570645557482
579,35.60000000000019,118,0,0.5602962074911925
580,36.00000000000021,110,0,0.5597359112837013
581,34.850000000000236,133,0,0.5591761753724176
582,54.30000000000027,134,0,0.5586169991970452
583,34.35000000000028,143,0,0.5580583821978482
584,34.150000000000304,147,0,0.5575003238156504
585,54.250000000000256,165,0,0.5569428234918348
586,40.000000000000156,120,0,0.5563858806683429
587,42.65000000000025,127,0,0.5558294947876746
588,113.79999999999974,234,0,0.5552736652928869
589,46.750000000000185,135,0,0.5547183916275941
590,37.95000000000019,131,0,0.5541636732359665
591,113.99999999999953,230,0,0.5536095095627305
592,32.10000000000042,188,0,0.5530559000531677
593,53.20000000000023,126,0,0.5525028441531146
594,35.550000000000196,119,0,0.5519503413089615
595,43.050000000000225,119,0,0.5513983909676525
596,27.400000000000688,282,0,0.5508469925766849
597,41.05000000000028,159,0,0.5502961455841082
598,35.90000000000019,112,0,0.5497458494385241
599,54.70000000000029,156,0,0.5491961035890855
600,51.85000000000018,123,0,0.5486469074854965
601,118.99999999999933,250,0,0.548098260578011
602,36.05000000000017,109,0,0.547550162317433
603,35.55000000000021,119,0,0.5470026121551156
604,41.45000000000023,121,0,0.5464556095429605
605,114.99999999999999,210,0,0.5459091539334175
606,47.15000000000023,127,0,0.5453632447794842
607,35.80000000000021,114,0,0.5448178815347047
608,35.50000000000021,120,0,0.54427306365317
609,48.65000000000032,157,0,0.5437287905895168
610,298.3999999999992,292,1,0.5431850617989273
611,40.10000000000019,118,0,0.5426418767371284
612,36.000000000000185,110,0,0.5420992348603912
613,39.700000000000216,126,0,0.5415571356255309
614,32.55000000000037,179,0,0.5410155784899053
615,34.10000000000029,148,0,0.5404745629114154
616,35.25000000000023,125,0,0.539934088348504
617,34.150000000000276,147,0,0.5393941542601555
618,35.05000000000024,129,0,0.5388547601058953
619,42.800000000000225,124,0,0.5383159053457894
620,36.75000000000013,95,0,0.5377775894404436
621,54.40000000000026,132,0,0.5372398118510032
622,36.800000000000225,124,0,0.5367025720391522
623,35.60000000000022,118,0,0.536165869467113
624,53.25000000000024,125,0,0.5356297035976458
625,45.4500000000002,131,0,0.5350940738940482
626,310.4999999999991,290,1,0.5345589798201541
627,45.550000000000296,159,0,0.534024420840334
628,33.60000000000032,158,0,0.5334903964194936
629,125.29999999999957,244,0,0.5329569060230741
630,45.850000000000236,123,0,0.532423949117051
631,308.349999999999,273,1,0.531891525167934
632,34.650000000000276,137,0,0.5313596336427661
633,125.89999999999945,202,0,0.5308282740091232
634,125.34999999999961,243,0,0.5302974457351142
635,36.10000000000018,108,0,0.5297671482893791
636,42.65000000000019,127,0,0.5292373811410898
637,43.100000000000136,88,0,0.5287081437599487
638,32.05000000000041,189,0,0.5281794356161887
639,33.15000000000036,167,0,0.5276512561805725
640,35.35000000000021,123,0,0.5271236049243919
641,33.35000000000032,163,0,0.5265964813194676
642,33.35000000000032,163,0,0.5260698848381481
643,121.24999999999967,235,0,0.5255438149533099
644,53.25000000000024,125,0,0.5250182711383566
645,35.60000000000018,118,0,0.5244932528672183
646,35.550000000000225,119,0,0.5239687596143511
647,113.94999999999975,231,0,0.5234447908547367
648,39.95000000000016,121,0,0.522921346063882
649,52.85000000000018,133,0,0.522398424717818
650,36.00000000000017,110,0,0.5218760262931003
651,133.7999999999995,194,0,0.5213541502668072
652,50.25000000000023,125,0,0.5208327961165404
653,34.80000000000024,134,0,0.5203119633204238
654,118.34999999999964,173,0,0.5197916513571034
655,126.09999999999964,198,0,0.5192718597057463
656,125.64999999999962,237,0,0.5187525878460405
657,130.79999999999967,194,0,0.5182338352581944
658,124.34999999999958,233,0,0.5177156014229363
659,35.2500000000002,125,0,0.5171978858215134
660,35.150000000000205,127,0,0.5166806879356919
661,38.30000000000014,94,0,0.5161640072477562
662,34.0000000000003,150,0,0.5156478432405085
663,36.650000000000205,127,0,0.515132195397268
664,35.70000000000017,116,0,0.5146170632018707
665,36.90000000000012,92,0,0.5141024461386688
666,35.60000000000021,118,0,0.5135883436925301
667,34.65000000000023,137,0,0.5130747553488376
668,125.34999999999961,243,0,0.5125616805934888
669,54.80000000000024,124,0,0.5120491189128954
670,35.800000000000196,114,0,0.5115370697939825
671,132.69999999999936,246,0,0.5110255327241885
672,52.00000000000024,120,0,0.5105145071914643
673,35.75000000000017,115,0,0.5100039926842729
674,31.10000000000045,208,0,0.5094939886915886
675,129.99999999999955,210,0,0.508984494702897
676,44.35000000000018,123,0,0.508475510208194
677,132.34999999999957,193,0,0.5079670346979859
678,50.25000000000021,125,0,0.5074590676632879
679,35.65000000000019,117,0,0.5069516085956246
680,51.95000000000023,121,0,0.506444656987029
681,34.050000000000296,149,0,0.505938212330042
682,45.900000000000176,122,0,0.505432274117712
683,116.99999999999979,170,0,0.5049268418435943
684,35.900000000000176,112,0,0.5044219150017507
685,127.6499999999996,197,0,0.5039174930867489
686,36.000000000000185,110,0,0.5034135755936622
687,300.34999999999957,253,1,0.5029101620180685
688,56.40000000000022,122,0,0.5024072518560504
689,32.200000000000415,186,0,0.5019048446041944
690,35.650000000000205,117,0,0.5014029397595902
691,34.95000000000026,131,0,0.5009015368198305
692,56.30000000000024,124,0,0.5004006352830107
693,133.0999999999995,208,0,0.4999002346477277
694,45.65000000000025,127,0,0.49940033441307996
695,35.95000000000019,111,0,0.49890093407866687
696,32.10000000000038,188,0,0.4984020331445882
697,56.450000000000244,121,0,0.4979036311114436
698,31.800000000000395,194,0,0.4974057274803321
699,35.80000000000018,114,0,0.49690832175285177
700,35.300000000000225,124,0,0.4964114134310989
701,247.64999999999327,767,0,0.4959150020176678
702,44.25000000000021,125,0,0.49541908701565013
703,115.9499999999996,191,0,0.49492366792863446
704,35.60000000000019,118,0,0.4944287442607058
705,35.65000000000019,117,0,0.4939343155164451
706,116.34999999999981,183,0,0.4934403812009287
707,34.55000000000024,139,0,0.4929469408197278
708,35.450000000000216,121,0,0.49245399387890804
709,34.65000000000026,137,0,0.4919615398850291
710,53.40000000000022,122,0,0.4914695783451441
711,33.60000000000032,158,0,0.4909781087667989
712,36.30000000000015,104,0,0.4904871306580321
713,127.79999999999963,194,0,0.4899966435273741
714,35.70000000000019,116,0,0.4895066468838467
715,35.95000000000019,111,0,0.48901714023696286
716,36.000000000000185,110,0,0.4885281230967259
717,298.99999999999926,250,1,0.48803959497362914
718,115.89999999999982,192,0,0.4875515553786555
719,36.10000000000018,108,0,0.48706400382327686
720,33.45000000000033,161,0,0.4865769398194536
721,36.30000000000018,104,0,0.48609036287963414
722,35.25000000000021,125,0,0.48560427251675453
723,121.44999999999972,231,0,0.48511866824423777
724,299.3499999999992,243,1,0.4846335495759935
725,41.35000000000021,123,0,0.4841489160264175
726,115.19999999999958,206,0,0.4836647671103911
727,35.50000000000021,120,0,0.4831811023432807
728,34.20000000000027,146,0,0.4826979212409374
729,56.20000000000023,126,0,0.48221522331969646
730,35.95000000000019,111,0,0.48173300809637676
731,55.05000000000024,119,0,0.48125127508828036
732,50.550000000000225,119,0,0.48077002381319206
733,48.800000000000225,124,0,0.48028925378937887
734,53.45000000000023,121,0,0.47980896453558947
735,35.10000000000022,128,0,0.4793291555710539
736,126.44999999999949,221,0,0.47884982641548285
737,47.050000000000225,129,0,0.47837097658906735
738,43.10000000000021,118,0,0.47789260561247826
739,35.45000000000017,121,0,0.4774147130068658
740,36.250000000000156,105,0,0.4769372982938589
741,34.55000000000027,139,0,0.47646036099556505
742,56.25000000000024,125,0,0.47598390063456947
743,41.75000000000013,85,0,0.4755079167339349
744,34.950000000000244,131,0,0.47503240881720094
745,51.850000000000236,123,0,0.47455737640838375
746,32.35000000000039,183,0,0.47408281903197536
747,35.60000000000021,118,0,0.47360873621294336
748,313.6999999999992,256,1,0.4731351274767304
749,47.40000000000023,122,0,0.4726619923492537
750,48.7500000000002,125,0,0.47218933035690447
751,34.75000000000024,135,0,0.47171714102654755
752,35.300000000000225,124,0,0.471245423885521
753,306.949999999999,241,1,0.47077417846163544
754,35.300000000000225,124,0,0.4703034042831738
755,34.95000000000023,131,0,0.46983310087889063
756,41.50000000000017,120,0,0.46936326777801174
757,127.94999999999943,191,0,0.4688939045102337
758,33.400000000000304,162,0,0.4684250106057235
759,115.79999999999983,194,0,0.46795658559511777
760,126.39999999999942,192,0,0.46748862900952265
761,116.6499999999999,177,0,0.4670211403805131
762,312.5999999999991,248,1,0.4665541192401326
763,127.24999999999967,175,0,0.4660875651208925
764,35.95000000000019,111,0,0.4656214775557716
