episod,recompensa,pasi,succes
666,23.550000000000566,479,0
667,29.50000000000051,390,0
668,32.15000000000052,307,0
669,47.80000000000034,204,0
670,29.250000000000313,275,0
671,26.750000000000583,325,0
672,37.90000000000036,252,0
673,20.9500000000005,501,0
674,35.750000000000625,355,0
675,32.45000000000037,391,0
676,32.700000000000344,356,0
677,28.000000000000625,390,0
678,27.250000000000725,525,0
679,23.350000000000534,393,0
680,30.100000000000477,318,0
681,29.85000000000082,353,0
682,30.05000000000041,349,0
683,42.450000000000486,311,0
684,28.200000000000188,266,0
685,37.950000000000514,311,0
686,30.600000000000335,218,0
687,28.20000000000023,266,0
688,25.700000000000315,316,0
689,42.80000000000042,394,0
690,26.45000000000053,451,0
691,32.250000000000355,275,0
692,28.150000000000347,267,0
693,35.600000000000435,358,0
694,35.20000000000043,276,0
695,35.80000000000065,354,0
696,28.650000000000446,257,0
697,29.15000000000029,247,0
698,26.200000000000557,396,0
699,36.40000000000053,312,0
700,27.05000000000058,349,0
701,26.35000000000045,303,0
702,30.800000000000466,394,0
703,28.45000000000067,351,0
704,23.350000000000435,363,0
705,25.500000000000554,350,0
706,31.650000000000276,317,0
707,32.45000000000047,271,0
708,23.050000000000523,369,0
709,42.85000000000049,273,0
710,32.30000000000041,274,0
711,32.00000000000034,280,0
712,26.700000000000713,386,0
713,26.700000000000443,296,0
714,105.5500000000002,459,0
715,29.400000000000404,242,0
716,28.250000000000597,475,0
717,28.60000000000032,318,0
718,24.60000000000052,398,0
719,22.100000000000634,598,0
720,33.10000000000056,348,0
721,33.1500000000007,317,0
722,26.6500000000009,477,0
723,35.80000000000034,234,0
724,28.70000000000053,466,0
725,24.650000000000688,397,0
726,47.15000000000029,307,0
727,22.80000000000021,374,0
728,42.55000000000044,309,0
729,48.60000000000029,278,0
730,30.30000000000041,314,0
731,45.2500000000006,345,0
732,30.250000000000384,465,0
733,34.20000000000033,236,0
734,31.100000000000264,268,0
735,31.600000000000563,318,0
736,23.750000000000696,505,0
737,35.15000000000046,277,0
738,35.85000000000046,233,0
739,32.500000000000625,330,0
740,46.05000000000025,269,0
741,27.650000000000247,307,0
742,33.90000000000046,242,0
743,25.500000000000526,320,0
744,32.150000000000446,277,0
745,33.20000000000026,286,0
746,36.30000000000061,314,0
747,24.25000000000057,345,0
748,34.000000000000426,210,0
749,32.25000000000037,395,0
750,30.30000000000041,284,0
751,27.40000000000056,282,0
752,28.900000000000446,282,0
753,25.60000000000059,438,0
754,44.30000000000035,274,0
755,39.50000000000064,400,0
756,42.35000000000045,343,0
757,26.700000000000415,296,0
758,31.800000000000537,314,0
759,39.250000000000256,315,0
760,30.700000000000216,276,0
761,47.650000000000446,237,0
762,38.550000000000466,269,0
763,34.50000000000064,350,0
764,28.300000000000225,264,0
765,30.950000000000358,211,0
766,28.90000000000066,312,0
767,47.45000000000037,271,0
768,35.80000000000058,324,0
769,23.950000000000585,351,0
770,42.40000000000046,282,0
771,26.10000000000032,428,0
772,40.00000000000074,360,0
773,26.450000000000287,301,0
774,39.40000000000032,282,0
775,43.30000000000054,354,0
776,25.55000000000051,349,0
777,29.200000000000387,246,0
778,32.000000000000554,310,0
779,33.40000000000025,162,0
780,37.0000000000006,390,0
781,32.95000000000047,351,0
782,33.45000000000046,311,0
783,28.450000000000813,441,0
784,38.20000000000046,276,0
785,36.90000000000046,242,0
786,102.5000000000003,640,0
787,24.05000000000048,349,0
788,30.950000000000273,421,0
789,31.650000000000276,197,0
790,25.200000000000387,356,0
791,92.10000000000106,668,0
792,39.65000000000059,427,0
793,34.15000000000043,327,0
794,28.25000000000037,265,0
795,22.550000000000537,379,0
796,30.200000000000557,346,0
797,39.45000000000046,311,0
798,20.000000000000668,430,0
799,29.000000000000284,250,0
800,29.100000000000307,248,0
801,29.25000000000061,395,0
802,27.200000000000685,346,0
